14	101	2
18	19	5
19	18	6
102	18	1
32	18	1
103	18	1
104	18	1
22	31	1
22	19	1
61	105	2
18	61	2
18	33	1
33	18	5
18	21	2
21	18	1
35	18	5
106	107	1
108	18	1
109	58	3
18	58	4
110	109	1
75	58	1
109	111	1
75	112	5
75	64	3
75	113	3
75	114	2
75	115	1
75	116	1
117	61	2
80	61	2
61	80	1
99	23	5
99	118	3
27	47	2
119	27	1
43	120	1
43	47	1
47	43	4
47	121	1
47	68	4
47	36	2
45	40	1
45	68	2
47	27	3
49	47	1
47	122	1
47	49	1
47	48	4
47	123	1
96	47	1
54	47	4
47	45	6
51	47	1
47	51	3
52	124	1
56	125	1
56	49	2
97	27	1
27	97	1
27	126	1
58	18	1
29	18	8
127	18	1
61	66	6
18	66	1
66	61	3
61	67	5
61	128	4
129	61	1
128	61	2
75	61	1
61	130	1
131	61	4
18	29	7
18	132	1
133	61	1
62	61	1
29	54	1
70	27	1
29	64	1
29	63	1
134	61	1
18	125	2
135	47	1
27	136	1
27	43	2
29	43	2
47	29	1
43	29	4
51	29	1
27	51	1
29	51	1
136	27	1
54	45	1
45	47	1
50	47	2
68	47	1
77	69	2
77	137	1
69	77	1
77	58	2
54	69	1
68	54	2
68	45	1
69	45	2
51	45	1
27	68	1
138	27	1
98	29	1
29	139	2
139	29	1
43	139	1
47	95	1
140	18	1
18	71	1
18	141	4
25	18	1
77	114	1
142	61	1
142	19	1
61	62	1
143	144	1
11	12	1
145	11	2
18	146	1
144	11	1
144	143	1
143	11	2
97	68	1
147	47	1
47	56	1
47	97	1
148	36	1
61	36	2
36	61	2
36	27	2
27	36	1
68	149	1
150	68	1
68	151	1
152	68	1
151	47	4
61	70	1
70	68	3
54	68	1
153	18	1
18	34	3
99	18	1
110	18	1
