,No,Betweenness,Katz,Collective Influence,Degree
0,0,1.0,1.0,1.0,1.0
1,1,0.9565217391304348,0.9891304347826086,0.9565217391304348,0.9565217391304348
2,2,0.7391304347826086,0.9456521739130435,0.9456521739130435,0.9456521739130435
3,3,0.7173913043478262,0.9239130434782609,0.9239130434782609,0.9239130434782609
4,4,0.5,0.9130434782608696,0.9130434782608696,0.8478260869565217
5,5,0.42391304347826086,0.8369565217391304,0.8369565217391304,0.8369565217391304
6,6,0.4130434782608695,0.8260869565217391,0.7391304347826086,0.4782608695652174
7,7,0.3913043478260869,0.8152173913043479,0.7282608695652174,0.46739130434782605
8,8,0.26086956521739135,0.46739130434782605,0.46739130434782605,0.46739130434782605
9,9,0.25,0.46739130434782605,0.46739130434782605,0.46739130434782605
10,10,0.2065217391304348,0.42391304347826086,0.42391304347826086,0.4565217391304348
11,11,0.18478260869565222,0.42391304347826086,0.42391304347826086,0.3695652173913043
12,12,0.1630434782608695,0.4130434782608695,0.4130434782608695,0.2717391304347826
13,13,0.10869565217391308,0.4130434782608695,0.4130434782608695,0.2717391304347826
14,14,0.08695652173913049,0.4130434782608695,0.23913043478260865,0.2717391304347826
15,15,0.08695652173913049,0.23913043478260865,0.23913043478260865,0.2717391304347826
16,16,0.08695652173913049,0.23913043478260865,0.23913043478260865,0.2717391304347826
17,17,0.08695652173913049,0.08695652173913049,0.08695652173913049,0.08695652173913049
18,18,0.08695652173913049,0.08695652173913049,0.08695652173913049,0.08695652173913049
19,19,0.08695652173913049,0.08695652173913049,0.08695652173913049,0.08695652173913049
20,20,0.08695652173913049,0.08695652173913049,0.08695652173913049,0.08695652173913049
21,21,0.08695652173913049,0.08695652173913049,0.08695652173913049,0.08695652173913049
22,22,0.08695652173913049,0.08695652173913049,0.08695652173913049,0.08695652173913049
23,23,0.07608695652173914,0.08695652173913049,0.08695652173913049,0.08695652173913049
24,24,0.05434782608695654,0.08695652173913049,0.08695652173913049,0.08695652173913049
25,25,0.05434782608695654,0.08695652173913049,0.08695652173913049,0.05434782608695654
26,26,0.05434782608695654,0.06521739130434778,0.06521739130434778,0.05434782608695654
27,27,0.05434782608695654,0.03260869565217395,0.03260869565217395,0.05434782608695654
28,28,0.05434782608695654,0.03260869565217395,0.03260869565217395,0.05434782608695654
29,29,0.05434782608695654,0.03260869565217395,0.03260869565217395,0.05434782608695654
30,30,0.05434782608695654,0.03260869565217395,0.03260869565217395,0.05434782608695654
31,31,0.05434782608695654,0.03260869565217395,0.03260869565217395,0.03260869565217395
32,32,0.05434782608695654,0.03260869565217395,0.03260869565217395,0.03260869565217395
33,33,0.05434782608695654,0.03260869565217395,0.03260869565217395,0.03260869565217395
34,34,0.05434782608695654,0.03260869565217395,0.03260869565217395,0.03260869565217395
35,35,0.05434782608695654,0.03260869565217395,0.03260869565217395,0.03260869565217395
36,36,0.05434782608695654,0.03260869565217395,0.03260869565217395,0.03260869565217395
37,37,0.05434782608695654,0.03260869565217395,0.03260869565217395,0.03260869565217395
38,38,0.05434782608695654,0.03260869565217395,0.03260869565217395,0.03260869565217395
39,39,0.05434782608695654,0.03260869565217395,0.03260869565217395,0.021739130434782594
40,40,0.05434782608695654,0.021739130434782594,0.03260869565217395,0.021739130434782594
41,41,0.05434782608695654,0.021739130434782594,0.03260869565217395,0.021739130434782594
42,42,0.05434782608695654,0.021739130434782594,0.03260869565217395,0.021739130434782594
43,43,0.05434782608695654,0.021739130434782594,0.03260869565217395,0.021739130434782594
44,44,0.05434782608695654,0.021739130434782594,0.03260869565217395,0.021739130434782594
45,45,0.05434782608695654,0.021739130434782594,0.03260869565217395,0.021739130434782594
46,46,0.05434782608695654,0.021739130434782594,0.03260869565217395,0.021739130434782594
47,47,0.05434782608695654,0.021739130434782594,0.03260869565217395,0.021739130434782594
48,48,0.05434782608695654,0.021739130434782594,0.03260869565217395,0.021739130434782594
49,49,0.05434782608695654,0.021739130434782594,0.03260869565217395,0.021739130434782594
50,50,0.05434782608695654,0.021739130434782594,0.03260869565217395,0.021739130434782594
51,51,0.05434782608695654,0.021739130434782594,0.03260869565217395,0.021739130434782594
52,52,0.05434782608695654,0.021739130434782594,0.03260869565217395,0.021739130434782594
53,53,0.05434782608695654,0.010869565217391353,0.03260869565217395,0.021739130434782594
54,54,0.05434782608695654,0.010869565217391353,0.03260869565217395,0.010869565217391353
55,55,0.05434782608695654,0.010869565217391353,0.03260869565217395,0.010869565217391353
